ATA1,,ATA2,,ATA3,,ATA4,
X,Y,X,Y,X,Y,X,Y
13.261133439968747,0.9681208053691276,13.195629329127717,0.9620805369127517,13.261133439968747,0.9661073825503357,13.195629329127717,0.9560402684563759
23.552825299134007,0.8976510067114094,23.552825299134007,0.8815436241610739,23.552825299134007,0.8966442953020135,23.552825299134007,0.8916107382550336
44.613096279008374,0.6580536912751678,44.39272739298135,0.6479865771812081,44.613096279008374,0.6681208053691274,44.613096279008374,0.6711409395973154
67.62503873611176,0.5130872483221476,67.29100107235915,0.4818791946308725,67.62503873611176,0.5161073825503355,67.62503873611176,0.5060402684563757
113.74019762127737,0.5352348993288589,113.74019762127737,0.5171140939597315,113.1783715491855,0.539261744966443,113.74019762127737,0.532214765100671
134.59603241553643,0.8624161073825504,135.26417739037652,0.8201342281879195,135.26417739037652,0.8664429530201343,134.92969133847444,0.8483221476510068
170.70964708781221,0.8050335570469799,170.70964708781221,0.7718120805369127,171.55706280142192,0.7859060402684563,171.55706280142192,0.7718120805369127
256.21358339713123,0.7395973154362416,254.94800206188594,0.7083892617449665,254.94800206188594,0.7446308724832215,256.21358339713123,0.7073825503355704
304.6989570903505,0.7003355704697987,304.6989570903505,0.6590604026845637,303.1938795380627,0.7184563758389262,303.1938795380627,0.6766778523489934
585.7899755867955,0.5231543624161072,585.7899755867955,0.47785234899328854,585.7899755867955,0.5251677852348993,585.7899755867955,0.47885906040268456
1213.0283967784094,0.1637583892617448,1213.0283967784094,0.13758389261744963,1213.0283967784094,0.15369127516778514,1213.0283967784094,0.1506711409395971
1608.6131436149833,0.16073825503355677,1616.5984220000837,0.14060402684563744,1616.5984220000837,0.1627516778523488,1616.5984220000837,0.17281879194630856
